symbol,open_time,close_time,expected_close_time,close_time_standard,quote_volume,number_of_trades,taker_buy_quote_volume
ETHUSDT,2023-03-24T12:29:00+00:00,2023-03-24T12:29:59.999000+00:00,2023-03-24T12:29:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:30:00+00:00,2023-03-24T12:30:59.999000+00:00,2023-03-24T12:30:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:31:00+00:00,2023-03-24T12:31:59.999000+00:00,2023-03-24T12:31:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:32:00+00:00,2023-03-24T12:32:59.999000+00:00,2023-03-24T12:32:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:33:00+00:00,2023-03-24T12:33:59.999000+00:00,2023-03-24T12:33:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:34:00+00:00,2023-03-24T12:34:59.999000+00:00,2023-03-24T12:34:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:35:00+00:00,2023-03-24T12:35:59.999000+00:00,2023-03-24T12:35:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:36:00+00:00,2023-03-24T12:36:59.999000+00:00,2023-03-24T12:36:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:37:00+00:00,2023-03-24T12:37:59.999000+00:00,2023-03-24T12:37:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:38:00+00:00,2023-03-24T12:38:59.999000+00:00,2023-03-24T12:38:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:39:00+00:00,2023-03-24T12:39:43.061000+00:00,2023-03-24T12:39:59.999000+00:00,False,0.0,0,0.0
ETHUSDT,2023-03-24T14:00:00+00:00,2023-03-24T14:00:59.999000+00:00,2023-03-24T14:00:59.999000+00:00,True,6439507.449596,8250,1191562.321333
ETHUSDT,2023-03-24T14:01:00+00:00,2023-03-24T14:01:59.999000+00:00,2023-03-24T14:01:59.999000+00:00,True,2321487.216197,2975,824214.467407
ETHUSDT,2023-03-24T14:02:00+00:00,2023-03-24T14:02:59.999000+00:00,2023-03-24T14:02:59.999000+00:00,True,1948772.788947,2264,651016.107098
ETHUSDT,2023-03-24T14:03:00+00:00,2023-03-24T14:03:59.999000+00:00,2023-03-24T14:03:59.999000+00:00,True,2847767.119894,3816,1240658.227414
ETHUSDT,2023-03-24T14:04:00+00:00,2023-03-24T14:04:59.999000+00:00,2023-03-24T14:04:59.999000+00:00,True,2095270.564024,2891,542891.282277
