universe_id,landmark_age_hours,direction,training_period,evaluation_period,removed_pair,training_row_count,evaluation_row_count,training_pair_count,evaluation_pair_count,structural_support_pass,model_fit_pass,continuous_lopo_pass,classification_auc_lopo_pass,subset_required_lopo_pass,spearman_predicted_vs_actual,auc_adverse_score,subset_row_count,subset_actual_mean_rcv,subset_actual_negative_fraction
D2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,XMR-USDT,45,122,8,11,True,True,False,True,False,-0.0005155482435584449,0.5418911637931034,115,0.030051330289291002,0.5304347826086957
D2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,XRP-USDT,41,111,7,11,True,True,False,True,False,0.031782250319082085,0.5428849902534113,99,0.026313313548931783,0.5252525252525253
D2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ADA-USDT,40,127,7,12,True,True,False,False,False,-0.07573491632128018,0.4463045634920635,73,0.03544291291462757,0.4520547945205479
D2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ATOM-USDT,42,127,7,12,True,True,False,False,False,-0.04351978557173915,0.4600694444444444,82,0.030692114982428388,0.47560975609756095
D2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,AVAX-USDT,40,125,7,11,True,True,False,False,False,-0.1120069324482566,0.4289554531490015,83,0.029230022756697543,0.5060240963855421
D2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,BTC-USDT,38,102,7,11,True,True,True,False,False,0.0037380218118323477,0.47192307692307695,69,0.03579434608887058,0.463768115942029
D2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,DOGE-USDT,45,122,8,11,True,True,False,False,False,-0.09001756493972116,0.44341397849462366,83,0.031133562692263094,0.46987951807228917
D2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ETH-USDT,33,107,7,11,True,True,False,False,False,-0.1543352605896512,0.3916841369671558,69,0.033587365685369124,0.4492753623188406
D2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,INJ-USDT,45,125,8,11,True,True,False,False,False,-0.07961004591049936,0.44457245263696876,83,0.031083445637311424,0.46987951807228917
D2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,LINK-USDT,45,122,8,11,True,True,False,False,False,-0.07458422514415779,0.45174731182795697,80,0.030994770021376832,0.4875
