universe_id,period_id,timestamp,candidate_rank,pair,membership_rank,decision_close,return_72h,family_id,signal_strength,aux_value
C2,DISCOVERY_2019_2020,2020-07-04 20:00:00+00:00,1,BTC-USDT,1,9128.8,-0.012333924784697303,MOMENTUM_ACCELERATION,0.005283024220610777,0.0003637325573704331
C2,DISCOVERY_2019_2020,2020-07-04 20:00:00+00:00,2,KCS-USDT,3,0.87734,-0.021077178849179257,MOMENTUM_ACCELERATION,0.004844443409323551,0.0009298694738775204
C2,DISCOVERY_2019_2020,2020-07-04 21:00:00+00:00,1,LTC-USDT,8,41.879,0.004268482770197313,MOMENTUM_ACCELERATION,0.0011524587566300593,0.0028166979633108546
C2,DISCOVERY_2019_2020,2020-07-04 22:00:00+00:00,1,XRP-USDT,6,0.17771,0.003614389789348804,MOMENTUM_ACCELERATION,0.0010140654610556465,0.00011268875366243769
C2,DISCOVERY_2019_2020,2020-07-04 23:00:00+00:00,1,ETH-USDT,2,228.82,-0.00900822867042017,MOMENTUM_ACCELERATION,0.01108634136815101,0.0011965963481652686
C2,DISCOVERY_2019_2020,2020-07-04 23:00:00+00:00,2,LTC-USDT,8,42.021,0.004518072289156683,MOMENTUM_ACCELERATION,0.007872750223902769,0.002049130927412657
C2,DISCOVERY_2019_2020,2020-07-04 23:00:00+00:00,3,BTC-USDT,1,9127.4,-0.012218218023224314,MOMENTUM_ACCELERATION,0.004363077196603116,0.0011698100714025994
C2,DISCOVERY_2019_2020,2020-07-05 08:00:00+00:00,1,BTC-USDT,1,9063.1,-0.01593936959141784,STRUCTURAL_REVERSAL,0.7243538288650289,9044.3
C2,DISCOVERY_2019_2020,2020-07-05 11:00:00+00:00,1,LTC-USDT,8,41.339,-0.0036634450844761357,STRUCTURAL_REVERSAL,0.7572265255998603,41.172
C2,DISCOVERY_2019_2020,2020-07-05 15:00:00+00:00,1,ADA-USDT,4,0.095472,0.006324310650139164,RELATIVE_STRENGTH_ROTATION,0.006892298835984856,-0.0005679881858456914
C2,DISCOVERY_2019_2020,2020-07-05 16:00:00+00:00,1,KCS-USDT,3,0.83028,-0.051314571693003797,VOLATILITY_EXPANSION,2.0125173082248664,1.0
C2,DISCOVERY_2019_2020,2020-07-05 22:00:00+00:00,1,BTC-USDT,1,9032.5,-0.009876570276017849,STRUCTURAL_REVERSAL,1.4531904983698216,8993.5
C2,DISCOVERY_2019_2020,2020-07-05 22:00:00+00:00,1,BTC-USDT,1,9032.5,-0.009876570276017849,VOLATILITY_EXPANSION,5.287377736376338,0.8491895701198049
C2,DISCOVERY_2019_2020,2020-07-05 22:00:00+00:00,2,ETH-USDT,2,226.15,-0.005103163081254691,VOLATILITY_EXPANSION,3.601990049751243,0.7651933701657477
C2,DISCOVERY_2019_2020,2020-07-05 22:00:00+00:00,3,ADA-USDT,4,0.097183,0.028979522690214532,VOLATILITY_EXPANSION,2.1778492968586014,0.9722436391673135
C2,DISCOVERY_2019_2020,2020-07-06 03:00:00+00:00,1,ADA-USDT,4,0.098074,0.05444575852058908,MOMENTUM_ACCELERATION,0.010016130165847015,0.006839701692642919
C2,DISCOVERY_2019_2020,2020-07-06 04:00:00+00:00,1,XRP-USDT,7,0.17691,0.009587399417907871,MOMENTUM_ACCELERATION,0.0046607761134462855,0.0006826326867286348
C2,DISCOVERY_2019_2020,2020-07-06 06:00:00+00:00,1,XRP-USDT,7,0.17872,0.01724628607205858,MOMENTUM_ACCELERATION,0.0018205425726993685,0.005454855389510627
C2,DISCOVERY_2019_2020,2020-07-06 07:00:00+00:00,1,LTC-USDT,8,42.483,0.030140640155188914,MOMENTUM_ACCELERATION,0.01629009986128649,0.003913043478260825
C2,DISCOVERY_2019_2020,2020-07-06 07:00:00+00:00,2,ETH-USDT,2,232.5,0.0254487716667402,MOMENTUM_ACCELERATION,0.013425032002784554,0.007142540259970742
C2,DISCOVERY_2019_2020,2020-07-06 07:00:00+00:00,3,BTC-USDT,1,9223.6,0.013961260251082797,MOMENTUM_ACCELERATION,0.013241575044291354,0.0027763336909751857
C2,DISCOVERY_2019_2020,2020-07-06 07:00:00+00:00,1,XRP-USDT,7,0.18091,0.02877452374182532,MOMENTUM_BREAKOUT,1.5657142857142703,0.17954
C2,DISCOVERY_2019_2020,2020-07-06 07:00:00+00:00,2,ETH-USDT,2,232.5,0.0254487716667402,MOMENTUM_BREAKOUT,1.5227352837504515,230.7
C2,DISCOVERY_2019_2020,2020-07-06 07:00:00+00:00,3,LTC-USDT,8,42.483,0.030140640155188914,MOMENTUM_BREAKOUT,1.1908217297509296,42.23
C2,DISCOVERY_2019_2020,2020-07-06 07:00:00+00:00,4,BTC-USDT,1,9223.6,0.013961260251082797,MOMENTUM_BREAKOUT,1.0183875530410145,9187.6
C2,DISCOVERY_2019_2020,2020-07-06 07:00:00+00:00,1,ETH-USDT,2,232.5,0.0254487716667402,VOLATILITY_EXPANSION,4.026788861473407,0.8109243697478987
C2,DISCOVERY_2019_2020,2020-07-06 07:00:00+00:00,2,BTC-USDT,1,9223.6,0.013961260251082797,VOLATILITY_EXPANSION,3.490806223479467,0.9416531604538174
