pair,first_observed_probe_open,last_observed_probe_open,boundary_status,full_history_downloaded
PHA-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
PIX-USDT,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
POKT-USDT,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
POL-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
POLS-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
POLYX-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
POND-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
PROM-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
PUSH-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
PYR-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
PYTH-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
QI-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
QNT-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
