currency,display_name,full_name,is_margin_enabled,is_debit_enabled,chain_count,canonical_asset_id,identity_confidence,current_metadata_isolation,historical_base_usdt_kline_found
AUD,AUD,Australian Dollar,False,False,0,AUD,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AUDIO,AUDIO,Audius,False,True,1,AUDIO,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
AURA,AURA,Aura finance,False,False,1,AURA,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AURORA,AURORA,AURORA,False,False,1,AURORA,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
AURY,AURY,Aurory,False,False,1,AURY,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AUSD,aUSD,Acala Dollar,False,False,2,AUSD,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AUTOS,AUTOS,CryptoAutos,False,False,1,AUTOS,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AVA,AVA,AVA,False,True,1,AVA,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AVAAI,AVAAI,Ava AI,False,False,1,AVAAI,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AVAIL,AVAIL,AVAIL,False,False,1,AVAIL,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AVAX,AVAX,Avalanche,True,True,2,AVAX,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
AVAX3L,AVAX3L,AVAX 3x Long,False,False,1,AVAX3L,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
