source_v2_candidate_id,admission_change,originally_admitted,dynamically_admitted,dynamic_router_decision,candidate_net_pnl
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000544,RETAINED_ADMISSION,True,True,ADMITTED,1027.0424098082785
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000551,DROPPED_OR_INELIGIBLE,True,False,NOT_PIT_ELIGIBLE,
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000587,RETAINED_ADMISSION,True,True,ADMITTED,-642.4010655123694
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000590,RETAINED_ADMISSION,True,True,ADMITTED,-401.82628152248117
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000600,RETAINED_ADMISSION,True,True,ADMITTED,75.85596885258647
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000603,RETAINED_ADMISSION,True,True,ADMITTED,-616.0979574123498
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000605,RETAINED_ADMISSION,True,True,ADMITTED,509.55778760316593
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000606,RETAINED_ADMISSION,True,True,ADMITTED,541.8746972821685
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000608,RETAINED_ADMISSION,True,True,ADMITTED,-606.0265061366163
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000609,RETAINED_ADMISSION,True,True,ADMITTED,-543.0125778237784
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000613,RETAINED_ADMISSION,True,True,ADMITTED,-494.4124515425999
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000616,RETAINED_ADMISSION,True,True,ADMITTED,254.70852373379458
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000620,RETAINED_ADMISSION,True,True,ADMITTED,251.94193267884845
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000628,RETAINED_ADMISSION,True,True,ADMITTED,-466.25410046441505
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000630,RETAINED_ADMISSION,True,True,ADMITTED,25.50038218241186
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000634,RETAINED_ADMISSION,True,True,ADMITTED,419.8817529558494
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000638,RETAINED_ADMISSION,True,True,ADMITTED,-500.7584901073005
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000649,RETAINED_ADMISSION,True,True,ADMITTED,-311.69363948908153
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000652,RETAINED_ADMISSION,True,True,ADMITTED,-424.038445709949
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000657,RETAINED_ADMISSION,True,True,ADMITTED,-316.79611344255943
