event_id,family_id,universe_id,period_id,pair,decision_time,horizon_hours,exit_time,entry_open,exit_open,forward_return
21804,LEADERSHIP_BREAKDOWN,C2,ROBUSTNESS_2023,BTC-USDT,2023-02-28 07:00:00+00:00,72,2023-03-03 07:00:00+00:00,23377.3,22346.7,-0.04408550174742154
21805,LEADERSHIP_BREAKDOWN,D2,ROBUSTNESS_2023,BTC-USDT,2023-02-28 07:00:00+00:00,6,2023-02-28 13:00:00+00:00,23377.3,23392.5,0.0006502034024460368
21805,LEADERSHIP_BREAKDOWN,D2,ROBUSTNESS_2023,BTC-USDT,2023-02-28 07:00:00+00:00,24,2023-03-01 07:00:00+00:00,23377.3,23690.1,0.013380501597703764
21805,LEADERSHIP_BREAKDOWN,D2,ROBUSTNESS_2023,BTC-USDT,2023-02-28 07:00:00+00:00,72,2023-03-03 07:00:00+00:00,23377.3,22346.7,-0.04408550174742154
21806,LEADERSHIP_BREAKDOWN,E2,ROBUSTNESS_2023,BTC-USDT,2023-02-28 07:00:00+00:00,6,2023-02-28 13:00:00+00:00,23377.3,23392.5,0.0006502034024460368
21806,LEADERSHIP_BREAKDOWN,E2,ROBUSTNESS_2023,BTC-USDT,2023-02-28 07:00:00+00:00,24,2023-03-01 07:00:00+00:00,23377.3,23690.1,0.013380501597703764
21806,LEADERSHIP_BREAKDOWN,E2,ROBUSTNESS_2023,BTC-USDT,2023-02-28 07:00:00+00:00,72,2023-03-03 07:00:00+00:00,23377.3,22346.7,-0.04408550174742154
21807,RELATIVE_STRENGTH_RECLAIM_CONTROL,C2,ROBUSTNESS_2023,SOL-USDT,2023-02-28 14:00:00+00:00,6,2023-02-28 20:00:00+00:00,22.458,22.54,0.003651260130020484
21807,RELATIVE_STRENGTH_RECLAIM_CONTROL,C2,ROBUSTNESS_2023,SOL-USDT,2023-02-28 14:00:00+00:00,24,2023-03-01 14:00:00+00:00,22.458,22.66,0.008994567637367501
21807,RELATIVE_STRENGTH_RECLAIM_CONTROL,C2,ROBUSTNESS_2023,SOL-USDT,2023-02-28 14:00:00+00:00,72,2023-03-03 14:00:00+00:00,22.458,21.102,-0.06037937483302158
21808,RELATIVE_STRENGTH_RECLAIM_CONTROL,D2,ROBUSTNESS_2023,SOL-USDT,2023-02-28 14:00:00+00:00,6,2023-02-28 20:00:00+00:00,22.458,22.54,0.003651260130020484
21808,RELATIVE_STRENGTH_RECLAIM_CONTROL,D2,ROBUSTNESS_2023,SOL-USDT,2023-02-28 14:00:00+00:00,24,2023-03-01 14:00:00+00:00,22.458,22.66,0.008994567637367501
21808,RELATIVE_STRENGTH_RECLAIM_CONTROL,D2,ROBUSTNESS_2023,SOL-USDT,2023-02-28 14:00:00+00:00,72,2023-03-03 14:00:00+00:00,22.458,21.102,-0.06037937483302158
21809,RELATIVE_STRENGTH_RECLAIM_CONTROL,E2,ROBUSTNESS_2023,SOL-USDT,2023-02-28 14:00:00+00:00,6,2023-02-28 20:00:00+00:00,22.458,22.54,0.003651260130020484
21809,RELATIVE_STRENGTH_RECLAIM_CONTROL,E2,ROBUSTNESS_2023,SOL-USDT,2023-02-28 14:00:00+00:00,24,2023-03-01 14:00:00+00:00,22.458,22.66,0.008994567637367501
21809,RELATIVE_STRENGTH_RECLAIM_CONTROL,E2,ROBUSTNESS_2023,SOL-USDT,2023-02-28 14:00:00+00:00,72,2023-03-03 14:00:00+00:00,22.458,21.102,-0.06037937483302158
21811,BREADTH_CONFIRMED_LAGGARD,C2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 15:00:00+00:00,6,2023-02-28 21:00:00+00:00,1.2377e-05,1.2231e-05,-0.011796073361880932
21811,BREADTH_CONFIRMED_LAGGARD,C2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 15:00:00+00:00,24,2023-03-01 15:00:00+00:00,1.2377e-05,1.2314e-05,-0.005090086450674658
21811,BREADTH_CONFIRMED_LAGGARD,C2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 15:00:00+00:00,72,2023-03-03 15:00:00+00:00,1.2377e-05,1.1339e-05,-0.08386523390159173
21812,BREADTH_CONFIRMED_LAGGARD,C2,ROBUSTNESS_2023,SOL-USDT,2023-02-28 15:00:00+00:00,6,2023-02-28 21:00:00+00:00,22.394,22.188,-0.00919889256050721
21812,BREADTH_CONFIRMED_LAGGARD,C2,ROBUSTNESS_2023,SOL-USDT,2023-02-28 15:00:00+00:00,24,2023-03-01 15:00:00+00:00,22.394,22.633,0.010672501562918768
21812,BREADTH_CONFIRMED_LAGGARD,C2,ROBUSTNESS_2023,SOL-USDT,2023-02-28 15:00:00+00:00,72,2023-03-03 15:00:00+00:00,22.394,21.33,-0.047512726623202606
21814,BREADTH_CONFIRMED_LAGGARD,D2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 15:00:00+00:00,6,2023-02-28 21:00:00+00:00,1.2377e-05,1.2231e-05,-0.011796073361880932
21814,BREADTH_CONFIRMED_LAGGARD,D2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 15:00:00+00:00,24,2023-03-01 15:00:00+00:00,1.2377e-05,1.2314e-05,-0.005090086450674658
