cost_multiplier,end_equity,period,return,start_equity,trade_count,universe_id
1.0,97671.74267207505,2020-02,0.12973235585590626,86455.64780525128,19,D2
1.0,98341.27220519255,2020-03,0.0068548949245781365,97671.74267207505,5,D2
1.0,108214.47212739926,2020-04,0.10039731743154512,98341.27220519255,8,D2
1.0,111292.45897652397,2020-05,0.02844339383276795,108214.47212739926,18,D2
1.0,108820.31747032917,2020-06,-0.022213019003527124,111292.45897652397,17,D2
1.0,123262.56403987005,2020-07,0.1327164531887961,108820.31747032917,28,D2
1.0,145574.61818645423,2020-08,0.1810124129769619,123262.56403987005,40,D2
1.0,135899.33666596166,2020-09,-0.06646269549613604,145574.61818645423,29,D2
1.0,131910.59211092384,2020-10,-0.02935072865618238,135899.33666596166,38,D2
1.0,146510.71096511267,2020-11,0.1106819294838095,131910.59211092384,30,D2
1.0,157391.50939910644,2020-12,0.07426623188378856,146510.71096511267,34,D2
1.0,160682.2016745233,2021-01,0.02090768611331173,157391.50939910644,37,D2
1.0,199544.2809905477,2021-02,0.24185677636371428,160682.2016745233,31,D2
1.0,196512.54846568548,2021-03,-0.015193281961339844,199544.2809905477,42,D2
1.0,205842.47309149418,2021-04,0.047477500539553796,196512.54846568548,39,D2
1.0,201747.03588252972,2021-05,-0.01989597747955585,205842.47309149418,21,D2
1.0,196338.7822068419,2021-06,-0.026807103519661424,201747.03588252972,9,D2
1.0,195644.60812004204,2021-07,-0.0035355933198594203,196338.7822068419,8,D2
1.0,216700.29721911147,2021-08,0.1076221282119374,195644.60812004204,39,D2
1.0,214104.72016605217,2021-09,-0.011977727240654601,216700.29721911147,20,D2
1.0,220177.9273798706,2021-10,0.02836559235643321,214104.72016605217,39,D2
1.0,219110.97917570136,2021-11,-0.004845845434490181,220177.9273798706,18,D2
1.0,227914.2311260154,2021-12,0.040177137555735376,219110.97917570136,18,D2
1.0,222179.78106335306,2022-01,-0.02516056164782321,227914.2311260154,7,D2
1.0,221149.78967809054,2022-02,-0.004635846611842798,222179.78106335306,2,D2
1.0,222382.9637884699,2022-03,0.005576193909903271,221149.78967809054,15,D2
1.0,218526.59059873028,2022-04,-0.01734113586779873,222382.9637884699,10,D2
1.0,218526.59059873028,2022-05,0.0,218526.59059873028,0,D2
1.0,218526.59059873028,2022-06,0.0,218526.59059873028,0,D2
1.0,218526.59059873028,2022-07,0.0,218526.59059873028,0,D2
1.0,218526.59059873028,2022-08,0.0,218526.59059873028,0,D2
1.0,217988.81292706516,2022-09,-0.0024609255568930344,218526.59059873028,1,D2
1.0,217471.34406550834,2022-10,-0.002373832191700398,217988.81292706516,2,D2
1.0,217471.34406550834,2022-11,0.0,217471.34406550834,0,D2
1.0,216760.90153829395,2022-12,-0.003266832833848543,217471.34406550834,4,D2
1.0,217193.80072504596,2023-01,0.001997127635472218,216760.90153829395,14,D2
1.0,215724.1481748521,2023-02,-0.006766549253651832,217193.80072504596,10,D2
1.0,210800.7154387171,2023-03,-0.022822816906637566,215724.1481748521,17,D2
1.0,210535.30881921086,2023-04,-0.0012590404114800613,210800.7154387171,25,D2
1.0,208991.75000399852,2023-05,-0.007331591189475017,210535.30881921086,26,D2
1.0,210362.76386317256,2023-06,0.0065601338768053186,208991.75000399852,22,D2
1.0,207229.1654258627,2023-07,-0.014896164985491733,210362.76386317256,34,D2
1.0,205877.97033669188,2023-08,-0.00652029402518739,207229.1654258627,4,D2
1.0,206004.7162862313,2023-09,0.0006156362884874866,205877.97033669188,4,D2
1.0,208470.67396450051,2023-10,0.011970394283803198,206004.7162862313,15,D2
1.0,213706.0354351869,2023-11,0.025113179571616406,208470.67396450051,32,D2
1.0,215529.69354490237,2023-12,0.008533489033202946,213706.0354351869,36,D2
1.0,209935.6723752329,2024-01,-0.025954758611968387,215529.69354490237,26,D2
1.0,223383.2529591211,2024-02,0.06405571969613799,209935.6723752329,37,D2
1.0,215346.73728350626,2024-03,-0.03597635708656066,223383.2529591211,43,D2
1.0,203813.37413331476,2024-04,-0.05355717618794331,215346.73728350626,25,D2
1.0,204662.7815433451,2024-05,0.004167574447174083,203813.37413331476,33,D2
1.0,199972.8303117359,2024-06,-0.022915506162100807,204662.7815433451,18,D2
1.0,205191.89953413064,2024-07,0.026098891605718544,199972.8303117359,18,D2
1.0,205501.49136669666,2024-08,0.0015087916885068164,205191.89953413064,4,D2
1.0,193572.42676067096,2024-09,-0.058048554911650174,205501.49136669666,20,D2
1.0,198584.78811967472,2024-10,0.02589398419435507,193572.42676067096,17,D2
1.0,193302.84389476274,2024-11,-0.02659792965475727,198584.78811967472,37,D2
1.0,191661.02785169316,2024-12,-0.008493491404417353,193302.84389476274,33,D2
2.0,100000.0,2019-04,0.0,100000.0,0,D2
2.0,100000.0,2019-05,0.0,100000.0,0,D2
2.0,100000.0,2019-06,0.0,100000.0,0,D2
2.0,100000.0,2019-07,0.0,100000.0,0,D2
2.0,95356.64668710428,2019-08,-0.04643353312895726,100000.0,7,D2
2.0,95118.83923294727,2019-09,-0.002493873918798073,95356.64668710428,3,D2
2.0,92770.00365037996,2019-10,-0.02469369476655381,95118.83923294727,6,D2
2.0,86702.9792340425,2019-11,-0.0653985574820295,92770.00365037996,18,D2
2.0,86348.41269356455,2019-12,-0.0040894389513520535,86702.9792340425,1,D2
2.0,82770.17641129802,2020-01,-0.041439514296169766,86348.41269356455,15,D2
2.0,92660.8870019644,2020-02,0.11949606753908415,82770.17641129802,19,D2
2.0,92892.96042146953,2020-03,0.002504545628839283,92660.8870019644,5,D2
2.0,102254.30961614629,2020-04,0.10077565783459685,92892.96042146953,8,D2
2.0,103811.3655430431,2020-05,0.015227289028128643,102254.30961614629,18,D2
2.0,99765.28646494682,2020-06,-0.038975299640179095,103811.3655430431,17,D2
2.0,111775.3460906053,2020-07,0.12038315180780113,99765.28646494682,28,D2
2.0,130659.1731999857,2020-08,0.16894447451831773,111775.3460906053,40,D2
2.0,118421.27474086836,2020-09,-0.09366275753472064,130659.1731999857,29,D2
2.0,110790.62526841417,2020-10,-0.06443647468878988,118421.27474086836,38,D2
2.0,122827.25073578427,2020-11,0.10864299608571382,110790.62526841417,30,D2
2.0,131152.96746196394,2020-12,0.06778395410061933,122827.25073578427,34,D2
2.0,132369.21322469588,2021-01,0.009273490232576398,131152.96746196394,37,D2
2.0,169330.49680092727,2021-02,0.2792287018695945,132369.21322469588,31,D2
2.0,163492.9455587318,2021-03,-0.03447430529338358,169330.49680092727,42,D2
2.0,170231.95813358293,2021-04,0.04121898074452557,163492.9455587318,39,D2
2.0,164654.4624156302,2021-05,-0.032764093059283295,170231.95813358293,21,D2
2.0,158712.95506425464,2021-06,-0.036084702863246276,164654.4624156302,9,D2
2.0,157380.1579667279,2021-07,-0.008397531864914098,158712.95506425464,8,D2
2.0,175449.7939285279,2021-08,0.1148152104766611,157380.1579667279,39,D2
2.0,171158.30534962597,2021-09,-0.02445992373550554,175449.7939285279,20,D2
2.0,174083.70965146078,2021-10,0.017091804548187595,171158.30534962597,39,D2
2.0,171462.3354524459,2021-11,-0.015058124647408078,174083.70965146078,18,D2
2.0,179081.125070489,2021-12,0.04443418782287689,171462.3354524459,18,D2
2.0,172788.88769672107,2022-01,-0.03513623990965675,179081.125070489,7,D2
2.0,171626.7558048213,2022-02,-0.0067257328141352435,172788.88769672107,2,D2
2.0,171878.4602183531,2022-03,0.0014665802680442486,171626.7558048213,15,D2
2.0,167328.97447026405,2022-04,-0.0264692023788754,171878.4602183531,10,D2
2.0,167328.97447026405,2022-05,0.0,167328.97447026405,0,D2
2.0,167328.97447026405,2022-06,0.0,167328.97447026405,0,D2
2.0,167328.97447026405,2022-07,0.0,167328.97447026405,0,D2
2.0,167328.97447026405,2022-08,0.0,167328.97447026405,0,D2
2.0,166753.41912693385,2022-09,-0.00343966336465229,167328.97447026405,1,D2
2.0,166118.41387264268,2022-10,-0.0038080493798319237,166753.41912693385,2,D2
2.0,166118.41387264268,2022-11,0.0,166118.41387264268,0,D2
2.0,165090.36750959614,2022-12,-0.006188635799488806,166118.41387264268,4,D2
2.0,164386.36981751313,2023-01,-0.004264317190051048,165090.36750959614,14,D2
2.0,162103.18788092284,2023-02,-0.013889119512310422,164386.36981751313,10,D2
2.0,155894.54749869424,2023-03,-0.038300544630802125,162103.18788092284,17,D2
2.0,153198.5786225634,2023-04,-0.017293541816486124,155894.54749869424,25,D2
2.0,149275.82467053208,2023-05,-0.025605681118594736,153198.5786225634,26,D2
2.0,148620.2529394672,2023-06,-0.004391680518341046,149275.82467053208,22,D2
2.0,142409.21288641062,2023-07,-0.04179134357674874,148620.2529394672,34,D2
2.0,140659.36994487615,2023-08,-0.012287427941408469,142409.21288641062,4,D2
2.0,140519.32208825956,2023-09,-0.0009956525233367763,140659.36994487615,4,D2
2.0,141742.28718809722,2023-10,0.008703181040608188,140519.32208825956,15,D2
2.0,144374.93400456602,2023-11,0.018573474921955935,141742.28718809722,32,D2
2.0,143091.75299025318,2023-12,-0.008887837928100883,144374.93400456602,36,D2
2.0,135524.08456316177,2024-01,-0.05288682449509785,143091.75299025318,26,D2
2.0,145647.36307250566,2024-02,0.07469726537518784,135524.08456316177,37,D2
2.0,134425.76454317465,2024-03,-0.07704635561266371,145647.36307250566,43,D2
2.0,120643.71266592777,2024-04,-0.10252537468604372,134425.76454317465,25,D2
2.0,118680.27726725899,2024-05,-0.01627465994938082,120643.71266592777,33,D2
2.0,112281.87033394353,2024-06,-0.05391297594381861,118680.27726725899,18,D2
2.0,115910.27783761054,2024-07,0.032315168004198425,112281.87033394353,18,D2
2.0,115819.55936844181,2024-08,-0.0007826611311883003,115910.27783761054,4,D2
2.0,102029.5405289027,2024-09,-0.11906468056635156,115819.55936844181,20,D2
2.0,105574.33038969323,2024-10,0.034742779810778224,102029.5405289027,17,D2
2.0,97847.69005726319,2024-11,-0.07318673302411371,105574.33038969323,37,D2
2.0,93476.14272670417,2024-12,-0.04467706215650735,97847.69005726319,33,D2
1.0,100000.0,2019-04,0.0,100000.0,0,E2
1.0,100000.0,2019-05,0.0,100000.0,0,E2
1.0,100000.0,2019-06,0.0,100000.0,0,E2
1.0,100000.0,2019-07,0.0,100000.0,0,E2
1.0,95949.18245063911,2019-08,-0.040508175493608856,100000.0,7,E2
1.0,96011.23306709742,2019-09,0.0006467029199568319,95949.18245063911,3,E2
1.0,94079.81551362475,2019-10,-0.020116578985324485,96011.23306709742,6,E2
1.0,89335.51077230714,2019-11,-0.050428508128085525,94079.81551362475,18,E2
1.0,89047.32248840193,2019-12,-0.003225909623326917,89335.51077230714,1,E2
1.0,86455.64780525128,2020-01,-0.029104465027437576,89047.32248840193,15,E2
1.0,97671.74267207505,2020-02,0.12973235585590626,86455.64780525128,19,E2
1.0,98341.27220519255,2020-03,0.0068548949245781365,97671.74267207505,5,E2
1.0,110897.66966697818,2020-04,0.12768186927240732,98341.27220519255,15,E2
1.0,118243.74185992658,2020-05,0.06624189863509655,110897.66966697818,23,E2
1.0,117151.5005170728,2020-06,-0.009237202118888233,118243.74185992658,18,E2
1.0,140515.63389982766,2020-07,0.19943520381414115,117151.5005170728,30,E2
1.0,144002.83618693094,2020-08,0.024817183613812466,140515.63389982766,37,E2
1.0,133504.81516733282,2020-09,-0.07290148789827011,144002.83618693094,30,E2
1.0,129516.070612295,2020-10,-0.029877158737970477,133504.81516733282,38,E2
1.0,142549.8640243892,2020-11,0.1006345648881728,129516.070612295,32,E2
1.0,155000.17193759838,2020-12,0.08734001956732174,142549.8640243892,31,E2
1.0,158290.8642130153,2021-01,0.021230249194444273,155000.17193759838,37,E2
1.0,197152.9435290397,2021-02,0.24551056379177316,158290.8642130153,31,E2
1.0,194121.2110041775,2021-03,-0.015377566627178818,197152.9435290397,42,E2
1.0,204416.25821684435,2021-04,0.05303411801014013,194121.2110041775,36,E2
1.0,198171.18063869685,2021-05,-0.03055078706862313,204416.25821684435,21,E2
1.0,192762.92696300903,2021-06,-0.027290818262560967,198171.18063869685,9,E2
1.0,190621.8753276189,2021-07,-0.011107175374033273,192762.92696300903,11,E2
1.0,203906.9932269978,2021-08,0.06969356416489947,190621.8753276189,41,E2
1.0,198609.26863829867,2021-09,-0.02598108335990945,203906.9932269978,25,E2
1.0,201053.49885588337,2021-10,0.012306727849826782,198609.26863829867,38,E2
1.0,199205.5418843937,2021-11,-0.009191369371862157,201053.49885588337,19,E2
1.0,200905.2337124214,2021-12,0.008532352122081477,199205.5418843937,19,E2
1.0,195170.78364975908,2022-01,-0.028543059614219435,200905.2337124214,7,E2
1.0,194140.79226449656,2022-02,-0.0052773850983294235,195170.78364975908,2,E2
1.0,195373.96637487592,2022-03,0.006351957751873583,194140.79226449656,15,E2
1.0,191517.5931851363,2022-04,-0.019738418896303567,195373.96637487592,10,E2
1.0,191517.5931851363,2022-05,0.0,191517.5931851363,0,E2
1.0,191517.5931851363,2022-06,0.0,191517.5931851363,0,E2
1.0,191517.5931851363,2022-07,0.0,191517.5931851363,0,E2
1.0,191517.5931851363,2022-08,0.0,191517.5931851363,0,E2
1.0,190979.81551347117,2022-09,-0.0028079805239891176,191517.5931851363,1,E2
1.0,190462.34665191435,2022-10,-0.0027095473946581183,190979.81551347117,2,E2
1.0,190462.34665191435,2022-11,0.0,190462.34665191435,0,E2
1.0,189751.90412469997,2022-12,-0.0037300943714233536,190462.34665191435,4,E2
1.0,190184.80331145198,2023-01,0.0022813957454019818,189751.90412469997,14,E2
1.0,188715.15076125812,2023-02,-0.007727497279512496,190184.80331145198,10,E2
1.0,183791.71802512312,2023-03,-0.026089228746469795,188715.15076125812,17,E2
1.0,182370.4281434695,2023-04,-0.0077331552091990385,183791.71802512312,26,E2
1.0,180826.86932825716,2023-05,-0.008463865720587327,182370.4281434695,26,E2
1.0,182197.88318743126,2023-06,0.007581914481333385,180826.86932825716,22,E2
1.0,179064.2847501214,2023-07,-0.017198874007148812,182197.88318743126,34,E2
1.0,177713.08966095056,2023-08,-0.007545865950077113,179064.2847501214,4,E2
1.0,177839.83561048997,2023-09,0.0007132054807061916,177713.08966095056,4,E2
1.0,180305.79328875922,2023-10,0.013866171602127775,177839.83561048997,15,E2
1.0,185268.3648817763,2023-11,0.027523084547092402,180305.79328875922,33,E2
1.0,188673.57416355924,2023-12,0.01837987442678557,185268.3648817763,34,E2
1.0,183079.55299388978,2024-01,-0.02964920336337118,188673.57416355924,26,E2
1.0,196527.1335777781,2024-02,0.07345211611007763,183079.55299388978,37,E2
1.0,184396.28258135013,2024-03,-0.06172608726126372,196527.1335777781,46,E2
1.0,173058.678154441,2024-04,-0.06148499453565348,184396.28258135013,26,E2
1.0,189181.00985250607,2024-05,0.09316107039530941,173058.678154441,35,E2
1.0,185572.61859230397,2024-06,-0.019073749860069822,189181.00985250607,23,E2
1.0,189434.8738493396,2024-07,0.02081263543260592,185572.61859230397,19,E2
1.0,189744.46568190563,2024-08,0.0016342916500804439,189434.8738493396,4,E2
1.0,180315.45453164302,2024-09,-0.04969320773797814,189744.46568190563,17,E2
1.0,178703.6877453493,2024-10,-0.008938594811410683,180315.45453164302,22,E2
1.0,188936.08589795692,2024-11,0.05725902068226296,178703.6877453493,28,E2
1.0,197055.16378086116,2024-12,0.042972616079753445,188936.08589795692,36,E2
2.0,100000.0,2019-04,0.0,100000.0,0,E2
2.0,100000.0,2019-05,0.0,100000.0,0,E2
2.0,100000.0,2019-06,0.0,100000.0,0,E2
2.0,100000.0,2019-07,0.0,100000.0,0,E2
2.0,95356.64668710428,2019-08,-0.04643353312895726,100000.0,7,E2
2.0,95118.83923294727,2019-09,-0.002493873918798073,95356.64668710428,3,E2
2.0,92770.00365037996,2019-10,-0.02469369476655381,95118.83923294727,6,E2
2.0,86702.9792340425,2019-11,-0.0653985574820295,92770.00365037996,18,E2
2.0,86348.41269356455,2019-12,-0.0040894389513520535,86702.9792340425,1,E2
2.0,82770.17641129802,2020-01,-0.041439514296169766,86348.41269356455,15,E2
2.0,92660.8870019644,2020-02,0.11949606753908415,82770.17641129802,19,E2
2.0,92892.96042146953,2020-03,0.002504545628839283,92660.8870019644,5,E2
2.0,104418.82440540573,2020-04,0.12407682919826857,92892.96042146953,15,E2
