comparison,scope,year,top_n,decision_count,exact_match_rate,mean_jaccard,mean_symmetric_difference,mean_substitution_count,mean_rank_displacement,mean_spearman_common,mean_eligible_count_difference,mean_turnover_difference
D2_vs_C2,POST_WARMUP,2020,10,52,0.0,0.6910333256487102,3.769230769230769,1.8846153846153846,6.872915033301378,0.9837504517607433,-16.28846153846154,-16.134615384615383
D2_vs_C2,POST_WARMUP,2020,30,52,0.0,0.4675862269810552,18.53846153846154,17.634615384615383,6.872915033301378,0.9837504517607433,-16.28846153846154,-6.903846153846154
D2_vs_C2,POST_WARMUP,2020,HYSTERESIS,52,0.15384615384615385,0.7541208791208791,1.7307692307692308,0.8653846153846154,6.872915033301378,0.9837504517607433,-16.28846153846154,0.0
D2_vs_C2,POST_WARMUP,2021,4,52,0.9615384615384616,0.9846153846153847,0.07692307692307693,0.038461538461538464,12.055146574087662,0.9980320543477874,-24.25,-24.0
D2_vs_C2,POST_WARMUP,2021,6,52,0.4423076923076923,0.8406593406593407,1.1153846153846154,0.5576923076923077,12.055146574087662,0.9980320543477874,-24.25,-24.0
D2_vs_C2,POST_WARMUP,2021,8,52,0.21153846153846154,0.7837606837606838,2.0384615384615383,1.0192307692307692,12.055146574087662,0.9980320543477874,-24.25,-24.0
D2_vs_C2,POST_WARMUP,2021,10,52,0.07692307692307693,0.7299623453469608,3.230769230769231,1.6153846153846154,12.055146574087662,0.9980320543477874,-24.25,-23.923076923076923
D2_vs_C2,POST_WARMUP,2021,30,52,0.0,0.6646886577524825,12.23076923076923,6.115384615384615,12.055146574087662,0.9980320543477874,-24.25,-23.615384615384617
D2_vs_C2,POST_WARMUP,2021,HYSTERESIS,52,0.34615384615384615,0.8008241758241759,1.4230769230769231,0.7115384615384616,12.055146574087662,0.9980320543477874,-24.25,-0.07692307692307693
D2_vs_C2,POST_WARMUP,2022,4,52,1.0,1.0,0.0,0.0,16.292221318371727,0.9996347038951023,-33.98076923076923,-33.92307692307692
D2_vs_C2,POST_WARMUP,2022,6,52,1.0,1.0,0.0,0.0,16.292221318371727,0.9996347038951023,-33.98076923076923,-33.92307692307692
D2_vs_C2,POST_WARMUP,2022,8,52,1.0,1.0,0.0,0.0,16.292221318371727,0.9996347038951023,-33.98076923076923,-33.92307692307692
D2_vs_C2,POST_WARMUP,2022,10,52,0.7884615384615384,0.9615384615384616,0.4230769230769231,0.21153846153846154,16.292221318371727,0.9996347038951023,-33.98076923076923,-33.92307692307692
D2_vs_C2,POST_WARMUP,2022,30,52,0.0,0.869360478231446,4.230769230769231,2.1153846153846154,16.292221318371727,0.9996347038951023,-33.98076923076923,-33.84615384615385
D2_vs_C2,POST_WARMUP,2022,HYSTERESIS,52,1.0,1.0,0.0,0.0,16.292221318371727,0.9996347038951023,-33.98076923076923,0.0
D2_vs_C2,POST_WARMUP,2023,4,52,1.0,1.0,0.0,0.0,21.326857193409918,0.9997503787945965,-42.86538461538461,-42.55769230769231
D2_vs_C2,POST_WARMUP,2023,6,52,0.7115384615384616,0.9175824175824177,0.5769230769230769,0.28846153846153844,21.326857193409918,0.9997503787945965,-42.86538461538461,-42.55769230769231
D2_vs_C2,POST_WARMUP,2023,8,52,0.5384615384615384,0.8871794871794871,1.0384615384615385,0.5192307692307693,21.326857193409918,0.9997503787945965,-42.86538461538461,-42.59615384615385
D2_vs_C2,POST_WARMUP,2023,10,52,0.36538461538461536,0.8422538999462078,1.8461538461538463,0.9230769230769231,21.326857193409918,0.9997503787945965,-42.86538461538461,-42.59615384615385
D2_vs_C2,POST_WARMUP,2023,30,52,0.0,0.8306380723956626,5.6923076923076925,2.8461538461538463,21.326857193409918,0.9997503787945965,-42.86538461538461,-42.71153846153846
D2_vs_C2,POST_WARMUP,2023,HYSTERESIS,52,0.46153846153846156,0.8461538461538463,1.0769230769230769,0.5384615384615384,21.326857193409918,0.9997503787945965,-42.86538461538461,-0.11538461538461539
D2_vs_C2,POST_WARMUP,2024,4,53,0.6792452830188679,0.8716981132075471,0.6415094339622641,0.32075471698113206,25.577856688224777,0.9997170818582141,-59.886792452830186,-59.62264150943396
